name_cyrillic,name_latin,roof_production_MWh_MWp,land_production_MWh_MWp
Западнобачки,Zapadnobacki,1.175,1.412
Севернобачки,Severnobacki,1.179,1.417
Севернобанатски,Severnobanatski,1.178,1.416
Јужнобачки,Juznobacki,1.184,1.423
Средњeбанатски,Srednjebanatski,1.185,1.424
Сремски,Sremski,1.177,1.413
Јужнобанатски,Juznobanatski,1.187,1.426
Мачвански,Macvanski,1.169,1.399
Београдски,Beogradski,1.186,1.418
Колубарски,Kolubarski,1.162,1.416
Подунавски,Podunavski,1.178,1.402
Браничевски,Branicevski,1.183,1.423
Златиборски,Zlatiborski,1.228,1.459
Моравички,Moravicki,1.178,1.411
Шумадијски,Sumadijski,1.182,1.415
Поморавски,Pomoravski,1.187,1.426
Борски,Borski,1.227,1.483
Рашки,Raski,1.196,1.412
Расински,Rasinski,1.188,1.408
Нишавски,Nisavski,1.224,1.472
Зајечарски,Zajecarski,1.247,1.479
Топлички,Toplicki,1.231,1.469
Јабланички,Jablanicki,1.22,1.473
Пиротски,Pirotski,1.248,1.494
Пчињски,Pcinjski,1.268,1.526
