meseci,cirilica,HOR (kWh/m2),J(kWh/m2),"I, Z (kWh/m2)",S(kWh/m2),prosek(kWh/m2)
Januar,Јануар,42.75,64.25,32.57,17.42,39.2475
Februar,Фебруар,60.35,76.98,55.35,22.38,53.765
Mart,Март,103.86,96.43,79.8,36.04,79.0325
April,Април,133.65,86.73,96.05,44.64,90.2675
Maj,Мај,170.43,86.28,112.9,55.69,106.325
Jun,Јун,181.23,81.43,116.78,56.88,109.08
Jul,Јул,192.83,90.31,125.22,58.27,116.6575
Avgust,Август,170.43,99.43,114.37,52.83,109.265
Septembar,Септембар,127.58,107.38,91.32,38.78,91.265
Oktobar,Октобар,88.94,109.22,67.21,29.16,73.6325
Novembar,Новембар,45.5,66.52,34.67,17.93,41.155
Decembar,Децембар,33.87,52.8,25.53,14.31,31.6275
